Age (ka),Mass Flux (g/cm2kyr)
0.015,1.971343804
0.022692308,1.968739019
0.025,1.958884877
0.03,1.930354084
0.04,1.925021245
0.053,1.919395211
0.113526,1.91982594
0.138,1.937184259
0.175,1.919378465
0.187,1.9329132
0.212,1.945683524
0.26,1.960100178
0.2735,1.9318235
0.2781,1.932442014
0.285,1.944148405
0.29,1.935190487
0.3284,1.948696836
0.33,1.9302964
0.368285714,1.914902124
0.37204,1.920470661
0.387,1.92983718
0.399615385,1.932575726
0.4,1.936617587
0.43,1.923990325
0.433,1.934413861
0.46,1.978406197
0.46,2.020435175
0.46685,2.003962309
0.48,2.009716577
0.48,2.019434839
0.48,2.028823668
0.489,2.034415799
0.4995,2.031245199
0.5,2.061375219
0.5,2.041033338
0.5,2.025324974
0.5,2.00866079
0.5,1.999285247
0.5,1.985273328
0.5,1.972685975
0.5,1.96015381
0.5,1.954521795
0.5,1.944904154
0.5,1.923782467
0.5,1.908319301
0.5,1.890230892
0.5,1.86961013
0.5,1.850837
0.5,1.830216943
0.5,1.810273171
0.5,1.791825507
0.5,1.77303863
0.5,1.75171398
0.5,1.736832797
0.5,1.722845701
0.5,1.71622217
0.5,1.711131145
0.5,1.699642891
0.5,1.687022436
0.5,1.68084823
0.5,1.677547119
0.5,1.67369647
0.5,1.66942215
0.5,1.672672943
0.5,1.663681312
0.5,1.655337163
0.5,1.654187619
0.5,1.6491699
0.5,1.638083895
0.5,1.631475557
0.5,1.625092819
0.5,1.619041148
0.5,1.621472404
0.5,1.61464215
0.5,1.606658697
0.5,1.602147604
0.5,2.727314124
0.5,2.711762513
0.5,2.690952534
0.5,2.669264498
0.5,2.649751729
0.5,2.629411873
0.5,2.608599299
0.5,2.59409058
0.5,2.573726558
0.5,2.575737111
0.5,2.591808873
0.5,2.590232369
0.5,2.578943571
0.5,2.580922135
0.5,2.561894846
0.5,2.557778333
0.5,2.539034848
0.5,2.520827989
0.5,2.554045946
0.5,2.597584231
0.5,2.601112683
0.5,2.611528467
0.5,2.615859913
0.5,2.611937797
0.5,2.599000911
0.5,2.595119561
0.5,2.586063968
0.5,2.570019678
0.5,2.563646635
0.5,2.546190121
0.5,2.528014312
0.5,2.511235551
0.5,2.501221143
0.5,2.494355752
0.5,2.495815258
0.5,2.506682653
0.5,2.516280819
0.5,2.514422023
0.5,2.548386693
0.5,2.537736063
0.5,2.525509099
0.5,2.515476167
0.5,2.509693631
0.5,2.494195489
0.5,2.482552469
0.5,2.471225748
0.5,2.460383789
0.5,2.453515514
0.5,2.4473467
0.5,2.439656674
0.5,2.426975621
0.5,2.422573213
0.5,2.41570351
0.5,2.40309274
0.5,2.427382464
0.5,2.417352434
0.5,2.407456333
0.5,2.395635033
0.5,2.392423492
0.5,2.382860743
0.5,2.377780863
0.5,2.373738003
0.5,2.362080991
0.5,2.358183165
0.5,2.345701756
0.5,2.334845647
0.5,2.32602851
0.5,2.313961381
0.504,2.310071913
0.51,2.303012667
0.52,2.300158769
0.527,2.300707238
0.55948,2.303234654
0.58,2.299285321
0.59,2.305066371
0.64,2.303786553
0.643,2.303402856
0.66,2.311784359
0.69,2.312444582
0.7183,2.31834538
0.737,2.319937147
0.739,2.320703108
0.783,2.326696698
0.79308,2.315262017
0.81,2.32377916
0.853,2.323161209
0.88,2.321601754
0.89353,2.335588846
0.9,2.339581358
0.9,2.334940726
0.918181818,2.326193385
0.927,2.335535912
0.97706,2.32537066
0.999,2.339642628
1,2.340592462
1.015,2.33941467
1.016,2.336788227
1.029,2.339216937
1.031,2.34638419
1.0409,2.344549011
1.06059,2.349698622
1.06372,2.348796462
1.07,2.359323651
1.085,2.354769961
1.1081,2.354441413
1.11325,2.353033425
1.13,2.355112681
1.13463,2.350629472
1.14,2.342184695
1.141,2.345617036
1.141558442,2.343307083
1.14412,2.345667564
1.153461538,2.343506318
1.166666667,2.332263733
1.166666667,2.32091273
1.205,2.330292599
1.21,2.324851421
1.21,2.334662012
1.225,2.333971936
1.245,2.333861383
1.26,2.328497331
1.262,2.328659365
1.289017341,2.334689455
1.29456,2.344149141
1.32,2.337478064
1.34,2.339011896
1.34827,2.339120405
1.36,2.338834804
1.36,2.333012158
1.39,2.337909909
1.390625,2.332898683
1.3935,2.340039462
1.3935,2.346925429
1.412,2.349759572
1.419,2.351406231
1.45,2.354655666
1.475,2.341152608
1.498,2.338466665
1.5,2.199664101
1.5,2.188949141
1.5,2.196508053
1.5,2.201027409
1.525,2.231199609
1.53081,2.231512698
1.57,2.222084029
1.58,2.217863823
1.58425,2.204744781
1.598,2.210342971
1.625,2.208656331
1.627,2.189480523
1.67675,2.14605326
1.69469,2.143791396
1.7,2.142422595
1.71,2.135016176
1.7323,2.12810215
1.75,2.113291848
1.771,2.114456054
1.78,2.10980626
1.787,2.108200453
1.8,2.126561102
1.81,2.096098278
1.81,2.083790595
1.82534,2.066476862
1.835,2.06457065
1.84,2.054888517
1.84741784,2.041211472
1.848,2.045669347
1.9,2.038168599
1.905,2.036949388
1.907307692,2.039230798
1.93,2.009511595
1.952,2.014236598
1.971,2.023829487
1.98,2.01438282
1.99,2.012026306
1.9979,2.015321174
2,2.002020269
2.01844,1.997813554
2.051,2.008708198
2.05315,2.023941918
2.0776,1.971753022
2.08,1.98668117
2.08425,1.99633364
2.09,2.000183852
2.1,1.996082265
2.12,1.980109424
2.123,1.960228779
2.1308,1.941249962
2.133,1.944505125
2.15,1.944456211
2.16,1.940859864
2.16,1.921191916
2.2,1.955217175
2.2,1.942229456
2.26,1.895610123
2.29,1.884519469
2.3,1.863421676
2.3,1.881242318
2.311,1.884929924
2.318931818,1.879376512
2.326,1.892183663
2.345,1.882103548
2.365,1.880882695
2.39,1.873876656
2.39,1.87110217
2.40275,1.820275264
2.40755,1.805080032
2.424,1.792587118
2.43,1.788339808
2.44,1.77862861
2.446,1.783846545
2.452,1.787898342
2.455,1.790735877
2.46383,1.799578964
2.46499,1.803258691
2.47,1.7990117
2.48,1.816879478
2.48,1.843337756
2.5,1.811093773
2.53,1.79665246
2.5355,1.780903178
2.556,1.785354574
2.56042,1.771154347
2.57557,1.751669823
2.585,1.770935844
2.6,1.758955275
2.62,1.751626727
2.642,1.771939901
2.65,1.789672471
2.65957,1.779208609
2.661153846,1.780025062
2.66594,1.783626064
2.75575,1.805619019
2.756,1.834815699
2.765,1.838907093
2.765,1.840419304
2.78,1.842580189
2.7885,1.838431835
2.8,1.830254774
2.809090909,1.836561203
2.81,1.856337439
2.822,1.860725128
2.864,1.890927882
